Year, Week, Cases, Pop
2014, 1, 0, 47661787
2014, 2, 0, 47661787
2014, 3, 0, 47661787
2014, 4, 0, 47661787
2014, 5, 0, 47661787
2014, 6, 0, 47661787
2014, 7, 0, 47661787
2014, 8, 0, 47661787
2014, 9, 0, 47661787
2014, 10, 0, 47661787
2014, 11, 0, 47661787
2014, 12, 0, 47661787
2014, 13, 0, 47661787
2014, 14, 0, 47661787
2014, 15, 0, 47661787
2014, 16, 0, 47661787
2014, 17, 0, 47661787
2014, 18, 0, 47661787
2014, 19, 0, 47661787
2014, 20, 0, 47661787
2014, 21, 0, 47661787
2014, 22, 0, 47661787
2014, 23, 13, 47661787
2014, 24, 9, 47661787
2014, 25, 8, 47661787
2014, 26, 6, 47661787
2014, 27, 7, 47661787
2014, 28, 10, 47661787
2014, 29, 14, 47661787
2014, 30, 12, 47661787
2014, 31, 14, 47661787
2014, 32, 19, 47661787
2014, 33, 24, 47661787
2014, 34, 40, 47661787
2014, 35, 83, 47661787
2014, 36, 209, 47661787
2014, 37, 713, 47661787
2014, 38, 1494, 47661787
2014, 39, 1664, 47661787
2014, 40, 1344, 47661787
2014, 41, 1167, 47661787
2014, 42, 1223, 47661787
2014, 43, 1117, 47661787
2014, 44, 893, 47661787
2014, 45, 1033, 47661787
2014, 46, 1066, 47661787
2014, 47, 1108, 47661787
2014, 48, 1027, 47661787
2014, 49, 1297, 47661787
2014, 50, 1157, 47661787
2014, 51, 1087, 47661787
2014, 52, 1033, 47661787
2014, 53, 1327, 47661787
2015, 1, 2139, 48203405
2015, 2, 1459, 48203405
2015, 3, 1183, 48203405
2015, 4, 1115, 48203405
2015, 5, 1315, 48203405
2015, 6, 1300, 48203405
2015, 7, 1526, 48203405
2015, 8, 1567, 48203405
2015, 9, 1587, 48203405
2015, 10, 1647, 48203405
2015, 11, 1496, 48203405
2015, 12, 1581, 48203405
2015, 13, 1465, 48203405
2015, 14, 1719, 48203405
2015, 15, 1620, 48203405
2015, 16, 1487, 48203405
2015, 17, 1598, 48203405
2015, 18, 1713, 48203405
2015, 19, 1645, 48203405
2015, 20, 1657, 48203405
2015, 21, 1545, 48203405
2015, 22, 1360, 48203405
2015, 23, 1115, 48203405
2015, 24, 998, 48203405
2015, 25, 722, 48203405
2015, 26, 762, 48203405
2015, 27, 690, 48203405
2015, 28, 529, 48203405
2015, 29, 450, 48203405
2015, 30, 336, 48203405
2015, 31, 295, 48203405
2015, 32, 287, 48203405
2015, 33, 230, 48203405
2015, 34, 204, 48203405
2015, 35, 179, 48203405
2015, 36, 186, 48203405
2015, 37, 179, 48203405
2015, 38, 148, 48203405
2015, 39, 134, 48203405
2015, 40, 152, 48203405
2015, 41, 187, 48203405
2015, 42, 140, 48203405
2015, 43, 135, 48203405
2015, 44, 130, 48203405
2015, 45, 143, 48203405
2015, 46, 138, 48203405
2015, 47, 174, 48203405
2015, 48, 188, 48203405
2015, 49, 184, 48203405
2015, 50, 205, 48203405
2015, 51, 176, 48203405
2015, 52, 249, 48203405
2016, 1, 432, 48747708
2016, 2, 445, 48747708
2016, 3, 327, 48747708
2016, 4, 239, 48747708
2016, 5, 227, 48747708
2016, 6, 277, 48747708
2016, 7, 235, 48747708
2016, 8, 273, 48747708
2016, 9, 278, 48747708
2016, 10, 244, 48747708
2016, 11, 195, 48747708
2016, 12, 201, 48747708
2016, 13, 363, 48747708
2016, 14, 338, 48747708
2016, 15, 322, 48747708
2016, 16, 315, 48747708
2016, 17, 327, 48747708
2016, 18, 340, 48747708
2016, 19, 302, 48747708
2016, 20, 346, 48747708
2016, 21, 275, 48747708
2016, 22, 269, 48747708
2016, 23, 213, 48747708
2016, 24, 214, 48747708
2016, 25, 169, 48747708
2016, 26, 156, 48747708
2016, 27, 142, 48747708
2016, 28, 111, 48747708
2016, 29, 95, 48747708
2016, 30, 69, 48747708
2016, 31, 103, 48747708
2016, 32, 61, 48747708
2016, 33, 67, 48747708
2016, 34, 61, 48747708
2016, 35, 48, 48747708
2016, 36, 43, 48747708
2016, 37, 33, 48747708
2016, 38, 28, 48747708
2016, 39, 26, 48747708
2016, 40, 30, 48747708
2016, 41, 35, 48747708
2016, 42, 29, 48747708
2016, 43, 38, 48747708
2016, 44, 23, 48747708
2016, 45, 20, 48747708
2016, 46, 32, 48747708
2016, 47, 27, 48747708
2016, 48, 28, 48747708
2016, 49, 25, 48747708
2016, 50, 16, 48747708
2016, 51, 15, 48747708
2016, 52, 4, 48747708
2017, 1, 43, 49291609
2017, 2, 52, 49291609
2017, 3, 42, 49291609
2017, 4, 30, 49291609
2017, 5, 36, 49291609
2017, 6, 29, 49291609
2017, 7, 29, 49291609
2017, 8, 8, 49291609
