Year, Week, Cases, Pop
2014, 1, 147, 47661787
2014, 2, 160, 47661787
2014, 3, 143, 47661787
2014, 4, 170, 47661787
2014, 5, 151, 47661787
2014, 6, 125, 47661787
2014, 7, 123, 47661787
2014, 8, 155, 47661787
2014, 9, 133, 47661787
2014, 10, 136, 47661787
2014, 11, 157, 47661787
2014, 12, 129, 47661787
2014, 13, 130, 47661787
2014, 14, 168, 47661787
2014, 15, 171, 47661787
2014, 16, 133, 47661787
2014, 17, 148, 47661787
2014, 18, 161, 47661787
2014, 19, 151, 47661787
2014, 20, 170, 47661787
2014, 21, 152, 47661787
2014, 22, 141, 47661787
2014, 23, 170, 47661787
2014, 24, 156, 47661787
2014, 25, 145, 47661787
2014, 26, 155, 47661787
2014, 27, 200, 47661787
2014, 28, 202, 47661787
2014, 29, 178, 47661787
2014, 30, 177, 47661787
2014, 31, 191, 47661787
2014, 32, 165, 47661787
2014, 33, 148, 47661787
2014, 34, 158, 47661787
2014, 35, 157, 47661787
2014, 36, 146, 47661787
2014, 37, 173, 47661787
2014, 38, 178, 47661787
2014, 39, 192, 47661787
2014, 40, 182, 47661787
2014, 41, 207, 47661787
2014, 42, 192, 47661787
2014, 43, 210, 47661787
2014, 44, 176, 47661787
2014, 45, 183, 47661787
2014, 46, 158, 47661787
2014, 47, 205, 47661787
2014, 48, 174, 47661787
2014, 49, 171, 47661787
2014, 50, 201, 47661787
2014, 51, 184, 47661787
2014, 52, 203, 47661787
2014, 53, 284, 47661787
2015, 1, 376, 48203405
2015, 2, 314, 48203405
2015, 3, 256, 48203405
2015, 4, 290, 48203405
2015, 5, 305, 48203405
2015, 6, 249, 48203405
2015, 7, 293, 48203405
2015, 8, 320, 48203405
2015, 9, 352, 48203405
2015, 10, 304, 48203405
2015, 11, 313, 48203405
2015, 12, 267, 48203405
2015, 13, 246, 48203405
2015, 14, 354, 48203405
2015, 15, 287, 48203405
2015, 16, 329, 48203405
2015, 17, 344, 48203405
2015, 18, 317, 48203405
2015, 19, 316, 48203405
2015, 20, 273, 48203405
2015, 21, 265, 48203405
2015, 22, 254, 48203405
2015, 23, 199, 48203405
2015, 24, 248, 48203405
2015, 25, 208, 48203405
2015, 26, 192, 48203405
2015, 27, 242, 48203405
2015, 28, 193, 48203405
2015, 29, 205, 48203405
2015, 30, 193, 48203405
2015, 31, 178, 48203405
2015, 32, 160, 48203405
2015, 33, 193, 48203405
2015, 34, 202, 48203405
2015, 35, 195, 48203405
2015, 36, 223, 48203405
2015, 37, 252, 48203405
2015, 38, 254, 48203405
2015, 39, 279, 48203405
2015, 40, 254, 48203405
2015, 41, 248, 48203405
2015, 42, 287, 48203405
2015, 43, 274, 48203405
2015, 44, 351, 48203405
2015, 45, 351, 48203405
2015, 46, 357, 48203405
2015, 47, 306, 48203405
2015, 48, 296, 48203405
2015, 49, 368, 48203405
2015, 50, 369, 48203405
2015, 51, 352, 48203405
2015, 52, 424, 48203405
2016, 1, 414, 48747708
2016, 2, 435, 48747708
2016, 3, 412, 48747708
2016, 4, 307, 48747708
2016, 5, 296, 48747708
2016, 6, 294, 48747708
2016, 7, 237, 48747708
2016, 8, 238, 48747708
2016, 9, 248, 48747708
2016, 10, 221, 48747708
2016, 11, 206, 48747708
2016, 12, 217, 48747708
2016, 13, 290, 48747708
2016, 14, 202, 48747708
2016, 15, 250, 48747708
2016, 16, 214, 48747708
2016, 17, 220, 48747708
2016, 18, 245, 48747708
2016, 19, 210, 48747708
2016, 20, 230, 48747708
2016, 21, 228, 48747708
2016, 22, 219, 48747708
2016, 23, 199, 48747708
2016, 24, 209, 48747708
2016, 25, 159, 48747708
2016, 26, 135, 48747708
2016, 27, 141, 48747708
2016, 28, 124, 48747708
2016, 29, 118, 48747708
2016, 30, 152, 48747708
2016, 31, 108, 48747708
2016, 32, 94, 48747708
2016, 33, 110, 48747708
2016, 34, 105, 48747708
2016, 35, 121, 48747708
2016, 36, 79, 48747708
2016, 37, 81, 48747708
2016, 38, 60, 48747708
2016, 39, 73, 48747708
2016, 40, 59, 48747708
2016, 41, 63, 48747708
2016, 42, 76, 48747708
2016, 43, 58, 48747708
2016, 44, 67, 48747708
2016, 45, 54, 48747708
2016, 46, 50, 48747708
2016, 47, 44, 48747708
2016, 48, 43, 48747708
2016, 49, 31, 48747708
2016, 50, 38, 48747708
2016, 51, 19, 48747708
2016, 52, 10, 48747708
2017, 1, 554, 49291609
2017, 2, 550, 49291609
2017, 3, 550, 49291609
2017, 4, 473, 49291609
2017, 5, 446, 49291609
2017, 6, 470, 49291609
2017, 7, 389, 49291609
2017, 8, 171, 49291609
